TS_LOAD	SYS_DESC	VEH_SER_NO	OPR_NAME
02:56.0	STVMS Tracking Top Station	DTP539	Top Station
03:01.0	STVMS Tracking Top Station	IQS845	Top Station
03:05.0	STVMS Tracking Top Station	ZYA587	Top Station
03:09.0	STVMS Tracking Top Station	IBA235	Top Station
03:15.0	STVMS Tracking Top Station	MBP046	Top Station
03:19.0	STVMS Tracking Top Station	FHL057	Top Station
03:23.0	STVMS Tracking Top Station	BRL042	Top Station
03:26.0	STVMS Tracking Top Station	LMN504	Top Station
03:30.0	STVMS Tracking Top Station	TPG078	Top Station
03:33.0	STVMS Tracking Top Station	XPR275	Top Station
03:36.0	STVMS Tracking Top Station	EUL768	Top Station
03:39.0	STVMS Tracking Top Station	GYI954	Top Station
03:42.0	STVMS Tracking Top Station	YTP390	Top Station
03:46.0	STVMS Tracking Top Station	WXK853	Top Station
03:50.0	STVMS Tracking Top Station	SOU593	Top Station
03:54.0	STVMS Tracking Top Station	IXM739	Top Station
03:54.8	Cab Conveyer	TPD286	Cab Upload 2
03:54.8	Cab Conveyor / Monorail	TPD286	Cab Upload
03:59.0	STVMS Tracking Top Station	EJO928	Top Station
04:03.0	STVMS Tracking Top Station	HMJ710	Top Station
04:06.0	STVMS Tracking Top Station	MVW427	Top Station
04:10.0	STVMS Tracking Top Station	AMZ845	Top Station
04:13.0	STVMS Tracking Top Station	HQD748	Top Station
04:16.0	STVMS Tracking Top Station	VQD376	Top Station
04:19.0	STVMS Tracking Top Station	QJP284	Top Station
04:23.0	STVMS Tracking Top Station	ZHB578	Top Station
04:25.0	STVMS Tracking Top Station	PGY640	Top Station
04:28.0	STVMS Tracking Top Station	FIX581	Top Station
04:31.0	STVMS Tracking Top Station	UHP854	Top Station
04:37.0	STVMS Tracking Top Station	CSM507	Top Station
04:43.0	STVMS Tracking Top Station	MGF879	Top Station
04:50.0	STVMS Tracking Top Station	PRA475	Top Station
04:54.0	STVMS Tracking Top Station	QFW209	Top Station
04:59.0	STVMS Tracking Top Station	SZP362	Top Station
05:03.0	STVMS Tracking Top Station	BIP389	Top Station
05:07.0	STVMS Tracking Top Station	TUQ327	Top Station
05:13.9	Cab in white conveyer	TEP325	CIW upload
05:15.0	STVMS Tracking Top Station	SVP127	Top Station
05:23.0	STVMS Tracking Top Station	ELJ539	Top Station
05:28.0	STVMS Tracking Top Station	IFP328	Top Station
05:39.0	STVMS Tracking Top Station	DKW659	Top Station
05:44.0	STVMS Tracking Top Station	JPU485	Top Station
05:51.4	Assembly Line Tracker	JPU485	Pool 60 Start
05:52.7	Assembly Line Tracker	DKW659	Pool 60 Start
05:53.9	Assembly Line Tracker	IFP328	Pool 60 Start
05:55.1	Assembly Line Tracker	ELJ539	Pool 60 Start
05:56.2	Assembly Line Tracker	SVP127	Pool 60 Start
05:57.4	Assembly Line Tracker	TUQ327	Pool 60 Start
05:58.6	Assembly Line Tracker	BIP389	Pool 60 Start
05:59.8	Assembly Line Tracker	SZP362	Pool 60 Start
06:00.9	Assembly Line Tracker	QFW209	Pool 60 Start
06:02.1	Assembly Line Tracker	PRA475	Pool 60 Start
06:03.3	Assembly Line Tracker	MGF879	Pool 60 Start
06:04.4	Assembly Line Tracker	CSM507	Pool 60 Start
06:05.6	Assembly Line Tracker	UHP854	Pool 60 Start
06:06.7	Assembly Line Tracker	FIX581	Pool 60 Start
06:07.9	Assembly Line Tracker	PGY640	Pool 60 Start
06:09.1	Assembly Line Tracker	ZHB578	Pool 60 Start
06:10.2	Assembly Line Tracker	QJP284	Pool 60 Start
06:11.3	Assembly Line Tracker	VQD376	Pool 60 Start
06:12.6	Assembly Line Tracker	HQD748	Pool 60 Start
06:13.8	Assembly Line Tracker	AMZ845	Pool 60 Start
06:14.9	Assembly Line Tracker	MVW427	Pool 60 Start
06:16.2	Assembly Line Tracker	HMJ710	Pool 60 Start
06:17.7	Assembly Line Tracker	EJO928	Pool 60 Start
06:18.8	Assembly Line Tracker	IXM739	Pool 60 Start
06:20.0	Assembly Line Tracker	SOU593	Pool 60 Start
06:21.1	Assembly Line Tracker	WXK853	Pool 60 Start
06:22.3	Assembly Line Tracker	YTP390	Pool 60 Start
06:23.6	Assembly Line Tracker	GYI954	Pool 60 Start
06:24.8	Assembly Line Tracker	EUL768	Pool 60 Start
06:26.0	Assembly Line Tracker	XPR275	Pool 60 Start
06:27.1	Assembly Line Tracker	TPG078	Pool 60 Start
06:28.3	Assembly Line Tracker	LMN504	Pool 60 Start
06:29.4	Assembly Line Tracker	BRL042	Pool 60 Start
06:30.6	Assembly Line Tracker	FHL057	Pool 60 Start
06:31.8	Assembly Line Tracker	MBP046	Pool 60 Start
06:32.9	Assembly Line Tracker	QJP284	Pool 13 Start
06:34.1	Assembly Line Tracker	IBA235	Pool 60 Start
06:35.3	Assembly Line Tracker	ZYA587	Pool 60 Start
06:36.6	Assembly Line Tracker	IQS845	Pool 60 Start
06:54.5	Hood Conveyor	FIX581	Hood Upload
07:28.0	U-BOLT	EUL768	Front U-Bolt
07:45.1	Cab call scan	HMX073	A Line
08:05.6	OMT Offline Tracking	GMS924	Enter Offline
10:10.7	Cab Conveyer	JYI091	Cab Upload 2
10:10.7	Cab Conveyor / Monorail	JYI091	Cab Upload
10:27.3	Paint Inspection	SZP362	PAINT
10:51.1	Assembly Line Tracker	ZHB578	Pool 13 Start
10:53.5	Assembly Line Tracker	DTP539	Pool 60 Start
10:54.6	Assembly Line Tracker	AKC912	Pool 60 Start
10:55.7	Assembly Line Tracker	HRY673	Pool 60 Start
10:56.9	Assembly Line Tracker	MRI015	Pool 60 Start
10:58.4	Assembly Line Tracker	MQH836	Pool 60 Start
10:59.6	Assembly Line Tracker	CNZ205	Pool 60 Start
11:00.7	Assembly Line Tracker	YDL247	Pool 60 Start
11:01.8	Assembly Line Tracker	XGW598	Pool 60 Start
11:02.9	Assembly Line Tracker	KQN543	Pool 60 Start
11:04.1	Assembly Line Tracker	TQL981	Pool 60 Start
11:05.2	Assembly Line Tracker	JYI091	Pool 60 Start
11:06.3	Assembly Line Tracker	TPD286	Pool 60 Start
11:07.6	Assembly Line Tracker	CSD174	Pool 60 Start
11:58.0	STVMS Tracking Chassis Start	ZHB578	Chassis Start
12:03.0	STVMS Tracking Chassis Start	PGY640	Chassis Start
12:03.8	Cab in white conveyer	NKE126	CIW upload
14:44.2	Cab in white conveyer	FMU279	CIW upload
14:50.0	STVMS Tracking Top Station	LEA891	Top Station
14:50.0	Paint Inspection	QFW209	PAINT
14:57.0	STVMS Tracking Top Station	SIW958	Top Station
15:01.0	STVMS Tracking Top Station	OSR174	Top Station
15:05.0	STVMS Tracking Top Station	USD901	Top Station
15:08.0	STVMS Tracking Top Station	CQU695	Top Station
15:12.0	STVMS Tracking Top Station	WBH162	Top Station
15:19.0	STVMS Tracking Top Station	TYA561	Top Station
15:23.0	STVMS Tracking Top Station	DVM139	Top Station
15:28.0	STVMS Tracking Top Station	GPJ498	Top Station
15:32.0	STVMS Tracking Top Station	UBJ603	Top Station
15:35.0	STVMS Tracking Top Station	JYL728	Top Station
15:40.0	STVMS Tracking Top Station	OTS758	Top Station
15:43.0	STVMS Tracking Top Station	NUR218	Top Station
15:51.2	Assembly Line Tracker	NUR218	Pool 60 Start
15:52.0	STVMS Tracking Top Station	XWK825	Top Station
15:52.5	Assembly Line Tracker	OTS758	Pool 60 Start
15:53.8	OMT Offline Tracking	YPV702	Enter Offline
15:53.8	Assembly Line Tracker	XWK825	Pool 60 Start
15:55.1	Assembly Line Tracker	JYL728	Pool 60 Start
15:56.0	STVMS Tracking Top Station	KSP816	Top Station
15:56.3	Assembly Line Tracker	UBJ603	Pool 60 Start
15:57.6	Assembly Line Tracker	KSP816	Pool 60 Start
15:58.9	Assembly Line Tracker	GPJ498	Pool 60 Start
16:00.1	Assembly Line Tracker	DVM139	Pool 60 Start
16:01.4	Assembly Line Tracker	TYA561	Pool 60 Start
16:04.0	Assembly Line Tracker	WBH162	Pool 60 Start
16:05.5	Assembly Line Tracker	CQU695	Pool 60 Start
16:06.7	Assembly Line Tracker	USD901	Pool 60 Start
16:08.0	Assembly Line Tracker	OSR174	Pool 60 Start
16:09.4	Assembly Line Tracker	SIW958	Pool 60 Start
16:10.6	Assembly Line Tracker	LEA891	Pool 60 Start
17:29.2	Cab Conveyer	TQL981	Cab Upload 2
17:29.2	Cab Conveyor / Monorail	TQL981	Cab Upload
17:31.7	Cab Call Scan	XGW598	B Line
20:28.9	Hood Conveyor	UHP854	Hood Upload
20:51.3	Assembly Line Tracker	PGY640	Pool 13 Start
20:52.3	Cab in white conveyer	QMA357	CIW upload
21:31.7	Cab call scan	CNZ205	A Line
21:46.0	U-BOLT	YTP390	Front U-Bolt
21:59.2	Cab Conveyer	KQN543	Cab Upload 2
21:59.2	Cab Conveyor / Monorail	KQN543	Cab Upload
23:37.4	OMT Offline Tracking	QME682	Enter Offline
23:37.4	OMT Offline Tracking	QME682	Sold
24:24.2	Paint Inspection	TUQ327	PAINT
25:54.2	Cab in white conveyer	ERC382	CIW upload
28:39.6	OMT Offline Tracking	SGN329	Enter Offline
30:47.8	Cab in white conveyer	GQV369	CIW upload
30:51.3	Assembly Line Tracker	FIX581	Pool 13 Start
30:53.8	Hood Conveyor	CSM507	Hood Upload
33:53.0	STVMS Tracking Chassis Start	FIX581	Chassis Start
33:58.0	STVMS Tracking Chassis Start	UHP854	Chassis Start
34:01.2	Cab Call Scan	MQH836	B Line
34:04.0	STVMS Tracking Chassis Start	CSM507	Chassis Start
36:04.1	Assembly Line Tracker	UHP854	Pool 13 Start
36:27.0	Hood Conveyor	MGF879	Hood Upload
36:52.0	Cab call scan	HRY673	A Line
37:24.1	Cab in white conveyer	QZB271	CIW upload
37:43.1	Cab Conveyer	HMX073	Cab Upload 2
37:43.1	Cab Conveyor / Monorail	HMX073	Cab Upload
38:10.2	Paint Inspection	BIP389	PAINT
38:42.6	OMT Offline Tracking	FTO836	Enter Offline
39:15.0	U-BOLT	SOU593	Front U-Bolt
39:24.3	Hood Conveyor	PRA475	Hood Upload
42:17.0	STVMS Tracking Chassis Start	MGF879	Chassis Start
43:23.8	Cab in white conveyer	RHX208	CIW upload
44:32.3	OMT Offline Tracking	HMX073	Enter Offline
44:53.0	U-BOLT	IXM739	Front U-Bolt
45:51.3	Assembly Line Tracker	MGF879	Pool 13 Start
45:51.9	Cab Conveyer	XGW598	Cab Upload 2
45:51.9	Cab Conveyor / Monorail	XGW598	Cab Upload
45:52.7	Assembly Line Tracker	CSM507	Pool 13 Start
49:12.8	Cab Call Scan	MRI015	B Line
49:38.1	Cab in white conveyer	WRT608	CIW upload
51:26.0	Cab call scan	AKC912	A Line
52:19.5	OMT Offline Tracking	SLP187	Enter Offline
53:19.7	Hood Conveyor	QFW209	Hood Upload
53:21.0	U-BOLT	EJO928	Front U-Bolt
54:11.7	Cab Conveyer	CNZ205	Cab Upload 2
54:11.7	Cab Conveyor / Monorail	CNZ205	Cab Upload
55:51.3	Assembly Line Tracker	QFW209	Pool 13 Start
55:52.6	Assembly Line Tracker	PRA475	Pool 13 Start
57:22.0	STVMS Tracking Chassis Start	PRA475	Chassis Start
57:48.4	Hood Conveyor	SZP362	Hood Upload
58:51.0	Cab in white conveyer	NUX358	CIW upload
00:13.0	U-BOLT	HMJ710	Front U-Bolt
00:19.1	Paint Inspection	OWH831	PAINT
01:04.3	Paint Inspection	SVP127	PAINT
01:18.8	Cab Conveyer	MQH836	Cab Upload 2
01:18.8	Cab Conveyor / Monorail	MQH836	Cab Upload
04:35.0	STVMS Tracking Chassis Start	QFW209	Chassis Start
04:39.0	STVMS Tracking Chassis Start	SZP362	Chassis Start
05:54.2	Assembly Line Tracker	BIP389	Pool 13 Start
05:55.5	Assembly Line Tracker	SZP362	Pool 13 Start
06:20.0	U-BOLT	MVW427	Front U-Bolt
06:45.7	Hood Conveyor	BIP389	Hood Upload
08:10.8	Cab in white conveyer	GDR742	CIW upload
08:32.0	OMT Offline Tracking	EQK798	Enter Offline
10:23.7	Cab Conveyer	HRY673	Cab Upload 2
10:23.7	Cab Conveyor / Monorail	HRY673	Cab Upload
11:02.2	Cab call scan	IQS845	A Line
11:54.0	STVMS Tracking Chassis Start	BIP389	Chassis Start
13:35.0	U-BOLT	AMZ845	Front U-Bolt
13:44.0	Cab Call Scan	DTP539	B Line
13:59.6	Cab in white conveyer	SPA495	CIW upload
14:22.0	OMT Offline Tracking	TCS146	Enter Offline
15:25.2	Cab Conveyer	MRI015	Cab Upload 2
15:25.2	Cab Conveyor / Monorail	MRI015	Cab Upload
15:53.8	Assembly Line Tracker	TUQ327	Pool 13 Start
19:32.5	Cab in white conveyer	RAI572	CIW upload
21:03.6	Cab Call Scan	ZYA587	B Line
22:20.6	Cab Conveyer	AKC912	Cab Upload 2
22:20.6	Cab Conveyor / Monorail	AKC912	Cab Upload
22:21.0	U-BOLT	HQD748	Front U-Bolt
23:19.9	OMT Offline Tracking	DFZ024	Enter Offline
23:19.9	OMT Offline Tracking	DFZ024	Sold
24:41.0	STVMS Tracking Chassis Start	TUQ327	Chassis Start
25:38.0	Cab call scan	IBA235	A Line
28:34.0	U-BOLT	VQD376	Front U-Bolt
35:49.7	OMT Offline Tracking	JLD084	Enter Offline
52:54.3	Hood Conveyor	TUQ327	Hood Upload
00:26.3	Hood Conveyor	SVP127	Hood Upload
37:07.6	OMT Offline Tracking	OQA530	Enter Offline
44:42.4	Paint Inspection	IFP328	PAINT
49:23.6	Paint Inspection	LEA891	PAINT
51:02.3	Paint Inspection	SIW958	PAINT
06:34.0	Paint Inspection	OSR174	PAINT
17:41.1	Paint Inspection	LER634	PAINT
21:07.0	STVMS Tracking Top Station	OTX594	Top Station
21:12.0	STVMS Tracking Top Station	LVP764	Top Station
21:17.0	STVMS Tracking Top Station	JBQ468	Top Station
21:21.0	STVMS Tracking Top Station	TPJ583	Top Station
21:25.0	STVMS Tracking Top Station	QVP853	Top Station
21:30.0	STVMS Tracking Top Station	YHB831	Top Station
21:33.0	STVMS Tracking Top Station	XLW275	Top Station
21:37.0	STVMS Tracking Top Station	WTB963	Top Station
21:41.0	STVMS Tracking Top Station	INW067	Top Station
21:45.0	STVMS Tracking Top Station	NKM173	Top Station
25:50.6	Assembly Line Tracker	NKM173	Pool 60 Start
25:50.9	Assembly Line Tracker	INW067	Pool 60 Start
25:51.2	Assembly Line Tracker	WTB963	Pool 60 Start
25:51.6	Assembly Line Tracker	XLW275	Pool 60 Start
25:51.9	Assembly Line Tracker	YHB831	Pool 60 Start
25:52.2	Assembly Line Tracker	QVP853	Pool 60 Start
25:52.5	Assembly Line Tracker	TPJ583	Pool 60 Start
25:52.9	Assembly Line Tracker	JBQ468	Pool 60 Start
25:53.2	Assembly Line Tracker	LVP764	Pool 60 Start
25:53.5	Assembly Line Tracker	OTX594	Pool 60 Start
32:38.3	Paint Inspection	CQU695	PAINT
33:14.7	Paint Inspection	USD901	PAINT
43:47.9	Paint Inspection	WBH162	PAINT
38:15.2	Cab Conveyer	DTP539	Cab Upload 2
38:15.2	Cab Conveyor / Monorail	DTP539	Cab Upload
42:59.3	Cab Call Scan	MBP046	B Line
43:14.7	OMT Offline Tracking	GDU671	Enter Offline
43:14.7	OMT Offline Tracking	GDU671	Sold
44:23.9	OMT Offline Tracking	TGS974	Sold
44:23.9	OMT Offline Tracking	TGS974	Enter Offline
45:50.3	Assembly Line Tracker	SVP127	Pool 13 Start
45:57.7	Cab Conveyer	IQS845	Cab Upload 2
45:57.7	Cab Conveyor / Monorail	IQS845	Cab Upload
46:19.0	STVMS Tracking Chassis Start	SVP127	Chassis Start
46:45.9	Hood Conveyor	ELJ539	Hood Upload
46:51.7	Paint Inspection	TYA561	PAINT
47:54.5	Cab call scan	FHL057	A Line
49:56.6	OMT Offline Tracking	PEK163	Enter Offline
50:50.4	Assembly Line Tracker	ELJ539	Pool 13 Start
52:09.3	Paint Inspection	DVM139	PAINT
52:12.0	U-BOLT	QJP284	Front U-Bolt
53:16.0	STVMS Tracking Chassis Start	ELJ539	Chassis Start
54:26.0	U-BOLT	QJP284	Rear U-Bolt
55:34.2	Cab Conveyer	ZYA587	Cab Upload 2
55:34.2	Cab Conveyor / Monorail	ZYA587	Cab Upload
55:40.3	Hood Conveyor	IFP328	Hood Upload
55:50.4	Assembly Line Tracker	IFP328	Pool 13 Start
58:16.9	Cab in white conveyer	YAP829	CIW upload
59:46.8	OMT Offline Tracking	CXD285	Enter Offline
59:54.2	Hood Conveyor	DKW659	Hood Upload
00:04.9	Paint Inspection	GPJ498	PAINT
00:24.0	U-BOLT	ZHB578	Front U-Bolt
00:50.4	Assembly Line Tracker	DKW659	Pool 13 Start
01:18.2	OMT Offline Tracking	ELI075	Enter Offline
01:19.0	STVMS Tracking Chassis Start	IFP328	Chassis Start
01:51.5	Cab Call Scan	BRL042	B Line
02:51.0	Cab call scan	ACM236	A Line
04:59.3	Hood Conveyor	JPU485	Hood Upload
05:42.9	Cab in white conveyer	ZIQ738	CIW upload
05:57.0	U-BOLT	PGY640	Rear U-Bolt
06:38.0	U-BOLT	PGY640	Front U-Bolt
06:46.0	Paint Inspection	UBJ603	PAINT
07:04.3	Cab Conveyer	IBA235	Cab Upload 2
07:04.3	Cab Conveyor / Monorail	IBA235	Cab Upload
07:05.0	STVMS Tracking Chassis Start	DKW659	Chassis Start
10:49.6	Cab Call Scan	TPG078	B Line
10:50.4	Assembly Line Tracker	JPU485	Pool 13 Start
12:07.3	Hood Conveyor	LEA891	Hood Upload
13:07.9	Cab in white conveyer	THO850	CIW upload
14:50.0	U-BOLT	FIX581	Front U-Bolt
14:56.0	U-BOLT	FIX581	Rear U-Bolt
14:56.4	Cab Conveyer	FHL057	Cab Upload 2
14:56.4	Cab Conveyor / Monorail	FHL057	Cab Upload
15:32.0	STVMS Tracking Chassis Start	JPU485	Chassis Start
15:50.8	Assembly Line Tracker	LEA891	Pool 13 Start
16:01.0	Hood Conveyor	SIW958	Hood Upload
18:39.3	OMT Offline Tracking	CVE258	Enter Offline
19:19.5	Cab in white conveyer	EZQ530	CIW upload
19:37.0	U-BOLT	UHP854	Rear U-Bolt
19:54.9	Hood Conveyor	OSR174	Hood Upload
20:35.5	OMT Offline Tracking	BEM390	Enter Offline
20:35.5	OMT Offline Tracking	BEM390	Sold
20:50.5	Assembly Line Tracker	SIW958	Pool 13 Start
22:44.8	Paint Inspection	JYL728	PAINT
22:58.1	Cab Conveyer	MBP046	Cab Upload 2
22:58.1	Cab Conveyor / Monorail	MBP046	Cab Upload
23:10.0	STVMS Tracking Chassis Start	LEA891	Chassis Start
23:16.0	U-BOLT	UHP854	Front U-Bolt
23:26.7	Cab Call Scan	EUL768	B Line
23:44.0	U-BOLT	UHP854	Rear U-Bolt
24:21.8	Hood Conveyor	USD901	Hood Upload
24:30.7	Cab in white conveyer	ARS065	CIW upload
25:26.8	Cab call scan	XPR275	A Line
25:50.9	Assembly Line Tracker	OSR174	Pool 13 Start
28:51.0	STVMS Tracking Chassis Start	SIW958	Chassis Start
28:52.2	Hood Conveyor	CQU695	Hood Upload
29:21.4	OMT Offline Tracking	SYB619	Enter Offline
29:34.7	OMT Offline Tracking	ETO603	Enter Offline
30:30.0	U-BOLT	CSM507	Front U-Bolt
30:55.0	Cab Conveyer	BRL042	Cab Upload 2
30:55.0	Cab Conveyor / Monorail	BRL042	Cab Upload
33:56.0	U-BOLT	MGF879	Front U-Bolt
35:16.0	STVMS Tracking Chassis Start	OSR174	Chassis Start
35:37.4	Cab Call Scan	YTP390	B Line
35:47.0	U-BOLT	MGF879	Rear U-Bolt
36:02.6	Hood Conveyor	WBH162	Hood Upload
36:59.0	STVMS Tracking Chassis Start	USD901	Chassis Start
37:35.0	Cab call scan	GYI954	A Line
39:00.1	Cab Conveyer	ACM236	Cab Upload 2
39:00.1	Cab Conveyor / Monorail	ACM236	Cab Upload
40:51.0	Assembly Line Tracker	USD901	Pool 13 Start
41:28.0	U-BOLT	PRA475	Front U-Bolt
42:12.6	OMT Offline Tracking	ALP937	Enter Offline
42:32.2	Hood Conveyor	TYA561	Hood Upload
43:39.2	Cab Conveyer	TPG078	Cab Upload 2
43:39.2	Cab Conveyor / Monorail	TPG078	Cab Upload
43:59.3	Cab in white conveyer	LED479	CIW upload
47:51.4	OMT Offline Tracking	RCF947	Enter Offline
49:42.0	U-BOLT	QFW209	Front U-Bolt
50:30.7	Cab Conveyer	XPR275	Cab Upload 2
50:30.7	Cab Conveyor / Monorail	XPR275	Cab Upload
50:50.5	Assembly Line Tracker	CQU695	Pool 13 Start
51:14.1	Cab call scan	WXK853	A Line
51:47.3	Hood Conveyor	DVM139	Hood Upload
51:52.0	U-BOLT	QFW209	Rear U-Bolt
51:55.0	STVMS Tracking Chassis Start	CQU695	Chassis Start
54:30.1	Cab in white conveyer	YBJ023	CIW upload
55:27.1	Hood Conveyor	GPJ498	Hood Upload
57:15.0	U-BOLT	SZP362	Front U-Bolt
58:11.4	Cab Call Scan	IXM739	B Line
58:18.9	Paint Inspection	DUT829	PAINT
58:49.5	Cab Conveyer	EUL768	Cab Upload 2
58:49.5	Cab Conveyor / Monorail	EUL768	Cab Upload
59:03.0	STVMS Tracking Chassis Start	WBH162	Chassis Start
59:35.2	OMT Offline Tracking	CSD174	Enter Offline
00:19.1	Hood Conveyor	UBJ603	Hood Upload
00:50.5	Assembly Line Tracker	WBH162	Pool 13 Start
00:56.7	Cab in white conveyer	UWT728	CIW upload
03:08.1	OMT Offline Tracking	TPD286	Enter Offline
04:16.3	Cab call scan	SOU593	A Line
05:13.0	U-BOLT	BIP389	Rear U-Bolt
05:14.3	Hood Conveyor	JYL728	Hood Upload
05:20.8	Cab Conveyer	GYI954	Cab Upload 2
05:20.8	Cab Conveyor / Monorail	GYI954	Cab Upload
10:29.0	U-BOLT	TUQ327	Rear U-Bolt
10:50.5	Assembly Line Tracker	TYA561	Pool 13 Start
11:01.0	U-BOLT	TUQ327	Front U-Bolt
11:59.1	Cab Call Scan	HMJ710	B Line
12:11.6	Paint Inspection	OTS758	PAINT
12:48.6	Cab Conveyer	WXK853	Cab Upload 2
12:48.6	Cab Conveyor / Monorail	WXK853	Cab Upload
14:29.0	STVMS Tracking Chassis Start	TYA561	Chassis Start
14:34.0	OMT Offline Tracking	TQL981	Enter Offline
15:10.9	Hood Conveyor	OTS758	Hood Upload
15:15.1	OMT Offline Tracking	JYI091	Enter Offline
15:15.1	OMT Offline Tracking	JYI091	Sold
16:39.6	Paint Inspection	NUR218	PAINT
17:52.1	Cab call scan	EJO928	A Line
18:59.2	Cab in white conveyer	ICB356	CIW upload
20:50.6	Assembly Line Tracker	GPJ498	Pool 13 Start
20:51.2	Assembly Line Tracker	DVM139	Pool 13 Start
21:45.3	Cab Conveyer	YTP390	Cab Upload 2
21:45.3	Cab Conveyor / Monorail	YTP390	Cab Upload
22:42.0	U-BOLT	SVP127	Rear U-Bolt
25:00.3	Paint Inspection	XWK825	PAINT
25:15.0	Cab in white conveyer	MPE786	CIW upload
26:46.0	STVMS Tracking Chassis Start	DVM139	Chassis Start
27:37.8	Hood Conveyor	NUR218	Hood Upload
29:08.0	Hood Conveyor	XWK825	Hood Upload
29:28.6	Cab Conveyer	SOU593	Cab Upload 2
29:28.6	Cab Conveyor / Monorail	SOU593	Cab Upload
31:08.9	Paint Inspection	KSP816	PAINT
32:59.0	U-BOLT	ELJ539	Front U-Bolt
33:09.3	OMT Offline Tracking	KQN543	Enter Offline
34:01.0	Cab call scan	AMZ845	A Line
34:39.6	Hood Conveyor	KSP816	Hood Upload
35:02.0	STVMS Tracking Chassis Start	GPJ498	Chassis Start
35:51.9	Assembly Line Tracker	UBJ603	Pool 13 Start
36:16.3	Paint Inspection	OTX594	PAINT
36:25.2	Cab Call Scan	MVW427	B Line
36:46.7	Cab Conveyer	IXM739	Cab Upload 2
36:46.7	Cab Conveyor / Monorail	IXM739	Cab Upload
38:30.8	Cab in white conveyer	GSF615	CIW upload
38:35.3	Hood Conveyor	OTX594	Hood Upload
39:16.0	U-BOLT	IFP328	Front U-Bolt
40:50.7	Assembly Line Tracker	OTS758	Pool 13 Start
40:51.3	Assembly Line Tracker	JYL728	Pool 13 Start
43:00.8	Cab Conveyer	EJO928	Cab Upload 2
43:00.8	Cab Conveyor / Monorail	EJO928	Cab Upload
43:44.0	STVMS Tracking Chassis Start	UBJ603	Chassis Start
44:40.7	OMT Offline Tracking	XGW598	Enter Offline
44:40.7	OMT Offline Tracking	XGW598	Sold
44:51.0	U-BOLT	DKW659	Rear U-Bolt
44:59.6	OMT Offline Tracking	CNZ205	Enter Offline
45:41.2	Cab in white conveyer	QPC953	CIW upload
45:50.6	Assembly Line Tracker	NUR218	Pool 13 Start
46:08.0	U-BOLT	DKW659	Front U-Bolt
48:23.0	Cab Call Scan	HQD748	B Line
50:04.2	Cab Conveyer	HMJ710	Cab Upload 2
50:04.2	Cab Conveyor / Monorail	HMJ710	Cab Upload
50:24.0	STVMS Tracking Chassis Start	JYL728	Chassis Start
50:52.1	Assembly Line Tracker	XWK825	Pool 13 Start
52:36.9	Cab call scan	VQD376	A Line
52:55.5	Cab in white conveyer	SYA283	CIW upload
53:07.0	U-BOLT	JPU485	Front U-Bolt
54:20.0	U-BOLT	JPU485	Rear U-Bolt
56:10.3	Paint Inspection	LVP764	PAINT
58:00.0	STVMS Tracking Chassis Start	OTS758	Chassis Start
00:24.0	Cab in white conveyer	PVZ436	CIW upload
00:59.1	Cab Conveyer	MVW427	Cab Upload 2
00:59.1	Cab Conveyor / Monorail	MVW427	Cab Upload
01:58.0	U-BOLT	LEA891	Front U-Bolt
03:31.1	Cab call scan	QJP284	A Line
03:42.1	OMT Offline Tracking	MQH836	Enter Offline
04:20.2	Cab Conveyer	AMZ845	Cab Upload 2
04:20.2	Cab Conveyor / Monorail	AMZ845	Cab Upload
04:20.8	Hood Conveyor	LVP764	Hood Upload
04:54.0	STVMS Tracking Chassis Start	NUR218	Chassis Start
05:33.9	Paint Inspection	TPJ583	PAINT
05:37.9	Cab in white conveyer	JKZ317	CIW upload
05:42.9	Cab Call Scan	ZHB578	B Line
05:43.9	Paint Inspection	HBM615	PAINT
06:39.6	OMT Offline Tracking	HRY673	Enter Offline
07:40.0	U-BOLT	SIW958	Front U-Bolt
10:50.7	Assembly Line Tracker	OTX594	Pool 13 Start
10:51.4	Assembly Line Tracker	KSP816	Pool 13 Start
11:19.2	Cab Conveyer	VQD376	Cab Upload 2
11:19.2	Cab Conveyor / Monorail	VQD376	Cab Upload
11:59.0	STVMS Tracking Chassis Start	XWK825	Chassis Start
14:21.5	Cab in white conveyer	VFR160	CIW upload
14:28.0	U-BOLT	OSR174	Front U-Bolt
14:38.0	Paint Inspection	JBQ468	PAINT
15:40.7	Cab Call Scan	FIX581	B Line
15:52.0	U-BOLT	OSR174	Rear U-Bolt
16:32.3	Cab call scan	PGY640	A Line
18:01.0	Cab Conveyer	HQD748	Cab Upload 2
18:01.0	Cab Conveyor / Monorail	HQD748	Cab Upload
18:06.3	OMT Offline Tracking	MRI015	Enter Offline
18:54.1	Paint Inspection	YHB831	PAINT
19:47.8	Cab in white conveyer	ZKY831	CIW upload
20:27.0	STVMS Tracking Chassis Start	KSP816	Chassis Start
20:41.9	Hood Conveyor	JBQ468	Hood Upload
20:51.7	Assembly Line Tracker	JBQ468	Pool 13 Start
20:52.4	Assembly Line Tracker	LVP764	Pool 13 Start
21:37.0	STVMS Tracking Top Station	JOM027	Top Station
21:39.0	STVMS Tracking Top Station	AJF195	Top Station
21:42.0	STVMS Tracking Top Station	DZV145	Top Station
21:45.0	STVMS Tracking Top Station	UBZ174	Top Station
21:47.0	STVMS Tracking Top Station	PMG926	Top Station
